Category,Quantity,Part Name,Type,Unit Price (USD),Link
Input,1,Power Supply Cable 3-Prong 1.2m,USA,3.49,https://www.aliexpress.com/item/3256807060355465.html
Input,1,IEC320 C14/C13 Panel Socket,Type 4 / China Mainland,1.33,https://www.aliexpress.com/item/3256808473935736.html
Input,1,KCD1 Rocker Switch SPST,15x20mm / 5PCS,2.39,https://www.aliexpress.us/item/3256808591861621.html
Input,1,48V 10A Switching Power Supply 480W,N/A,26.99,https://www.amazon.com/REALSUN-Universal-Switching-Converter-Transformer/dp/B096VJMQFM/
Cooling,2,60mm 12V DC Cooling Fan,6015 / 12V,2.61,https://www.aliexpress.com/item/3256806120222119.html
Cooling,2,Thermal Switch KSD-01F,40C / Normally Open,1.33,https://www.aliexpress.com/item/2251832786193672.html
Cooling,1,DC-DC Buck Converter 60V 3A,2–34V,2.79,https://www.aliexpress.com/item/3256806811379418.html
Output,1,600W DC-DC Buck Converter CC/CV,N/A,11.62,https://www.aliexpress.com/item/3256807619950116.html
Output,1,DC Voltmeter Ammeter 0–100V 50A,Red Blue With Shunt,3.98,https://www.aliexpress.com/item/3256806046459838.html
Output,1,4mm Banana Jack Panel Mount,Black,1.26,https://www.aliexpress.com/item/3256805937948099.html
Output,1,4mm Banana Jack Panel Mount,Red,0.99,https://www.aliexpress.com/item/3256805937948099.html
Output,1,Banana to Alligator Test Leads 90cm,N/A,3.04,https://www.aliexpress.com/item/3256806675649321.html
